1975: T1_OFF_SHIELD                                                    : T1.0 Shield
4938: T5_SHOES_CLOTH_MORGANA@3                                         : T5.3 Cultist Sandals
4939: T5_SHOES_CLOTH_MORGANA@4                                         : T5.4 Cultist Sandals
4940: T6_SHOES_CLOTH_MORGANA                                           : T6.0 Cultist Sandals
4941: T6_SHOES_CLOTH_MORGANA@1                                         : T6.1 Cultist Sandals
4942: T6_SHOES_CLOTH_MORGANA@2                                         : T6.2 Cultist Sandals
4943: T6_SHOES_CLOTH_MORGANA@3                                         : T6.3 Cultist Sandals
4944: T6_SHOES_CLOTH_MORGANA@4                                         : T6.4 Cultist Sandals
4945: T7_SHOES_CLOTH_MORGANA                                           : T7.0 Cultist Sandals
4946: T7_SHOES_CLOTH_MORGANA@1                                         : T7.1 Cultist Sandals
4947: T7_SHOES_CLOTH_MORGANA@2                                         : T7.2 Cultist Sandals
4948: T7_SHOES_CLOTH_MORGANA@3                                         : T7.3 Cultist Sandals
4949: T7_SHOES_CLOTH_MORGANA@4                                         : T7.4 Cultist Sandals
4950: T8_SHOES_CLOTH_MORGANA                                           : T8.0 Cultist Sandals
4951: T8_SHOES_CLOTH_MORGANA@1                                         : T8.1 Cultist Sandals
4952: T8_SHOES_CLOTH_MORGANA@2                                         : T8.2 Cultist Sandals
4953: T8_SHOES_CLOTH_MORGANA@3                                         : T8.3 Cultist Sandals
4954: T8_SHOES_CLOTH_MORGANA@4                                         : T8.4 Cultist Sandals
4955: T4_HEAD_CLOTH_FEY                                                : T4.0 Feyscale Hat
4956: T4_HEAD_CLOTH_FEY@1                                              : T4.1 Feyscale Hat
4957: T4_HEAD_CLOTH_FEY@2                                              : T4.2 Feyscale Hat
4958: T4_HEAD_CLOTH_FEY@3                                              : T4.3 Feyscale Hat
4959: T4_HEAD_CLOTH_FEY@4                                              : T4.4 Feyscale Hat
4960: T5_HEAD_CLOTH_FEY                                                : T5.0 Feyscale Hat
4961: T5_HEAD_CLOTH_FEY@1                                              : T5.1 Feyscale Hat
4962: T5_HEAD_CLOTH_FEY@2                                              : T5.2 Feyscale Hat
4963: T5_HEAD_CLOTH_FEY@3                                              : T5.3 Feyscale Hat
4964: T5_HEAD_CLOTH_FEY@4                                              : T5.4 Feyscale Hat
4965: T6_HEAD_CLOTH_FEY                                                : T6.0 Feyscale Hat
4966: T6_HEAD_CLOTH_FEY@1                                              : T6.1 Feyscale Hat
4967: T6_HEAD_CLOTH_FEY@2                                              : T6.2 Feyscale Hat
4968: T6_HEAD_CLOTH_FEY@3                                              : T6.3 Feyscale Hat
4969: T6_HEAD_CLOTH_FEY@4                                              : T6.4 Feyscale Hat
4970: T7_HEAD_CLOTH_FEY                                                : T7.0 Feyscale Hat
4971: T7_HEAD_CLOTH_FEY@1                                              : T7.1 Feyscale Hat
4972: T7_HEAD_CLOTH_FEY@2                                              : T7.2 Feyscale Hat
4973: T7_HEAD_CLOTH_FEY@3                                              : T7.3 Feyscale Hat
4974: T7_HEAD_CLOTH_FEY@4                                              : T7.4 Feyscale Hat
4975: T8_HEAD_CLOTH_FEY                                                : T8.0 Feyscale Hat
4976: T8_HEAD_CLOTH_FEY@1                                              : T8.1 Feyscale Hat
4977: T8_HEAD_CLOTH_FEY@2                                              : T8.2 Feyscale Hat
4978: T8_HEAD_CLOTH_FEY@3                                              : T8.3 Feyscale Hat
4979: T8_HEAD_CLOTH_FEY@4                                              : T8.4 Feyscale Hat
4980: T4_ARMOR_CLOTH_FEY                                               : T4.0 Feyscale Robe
4981: T4_ARMOR_CLOTH_FEY@1                                             : T4.1 Feyscale Robe
4982: T4_ARMOR_CLOTH_FEY@2                                             : T4.2 Feyscale Robe
4983: T4_ARMOR_CLOTH_FEY@3                                             : T4.3 Feyscale Robe
4984: T4_ARMOR_CLOTH_FEY@4                                             : T4.4 Feyscale Robe
4985: T5_ARMOR_CLOTH_FEY                                               : T5.0 Feyscale Robe
4986: T5_ARMOR_CLOTH_FEY@1                                             : T5.1 Feyscale Robe
4987: T5_ARMOR_CLOTH_FEY@2                                             : T5.2 Feyscale Robe
4988: T5_ARMOR_CLOTH_FEY@3                                             : T5.3 Feyscale Robe
4989: T5_ARMOR_CLOTH_FEY@4                                             : T5.4 Feyscale Robe
4990: T6_ARMOR_CLOTH_FEY                                               : T6.0 Feyscale Robe
4991: T6_ARMOR_CLOTH_FEY@1                                             : T6.1 Feyscale Robe
4992: T6_ARMOR_CLOTH_FEY@2                                             : T6.2 Feyscale Robe
4993: T6_ARMOR_CLOTH_FEY@3                                             : T6.3 Feyscale Robe
4994: T6_ARMOR_CLOTH_FEY@4                                             : T6.4 Feyscale Robe
4995: T7_ARMOR_CLOTH_FEY                                               : T7.0 Feyscale Robe
4996: T7_ARMOR_CLOTH_FEY@1                                             : T7.1 Feyscale Robe
4997: T7_ARMOR_CLOTH_FEY@2                                             : T7.2 Feyscale Robe
4998: T7_ARMOR_CLOTH_FEY@3                                             : T7.3 Feyscale Robe
4999: T7_ARMOR_CLOTH_FEY@4                                             : T7.4 Feyscale Robe
5000: T8_ARMOR_CLOTH_FEY                                               : T8.0 Feyscale Robe
5001: T8_ARMOR_CLOTH_FEY@1                                             : T8.1 Feyscale Robe
5002: T8_ARMOR_CLOTH_FEY@2                                             : T8.2 Feyscale Robe
5003: T8_ARMOR_CLOTH_FEY@3                                             : T8.3 Feyscale Robe
5004: T8_ARMOR_CLOTH_FEY@4                                             : T8.4 Feyscale Robe
5005: T4_SHOES_CLOTH_FEY                                               : T4.0 Feyscale Sandals
5006: T4_SHOES_CLOTH_FEY@1                                             : T4.1 Feyscale Sandals
5007: T4_SHOES_CLOTH_FEY@2                                             : T4.2 Feyscale Sandals
5008: T4_SHOES_CLOTH_FEY@3                                             : T4.3 Feyscale Sandals
5009: T4_SHOES_CLOTH_FEY@4                                             : T4.4 Feyscale Sandals
5010: T5_SHOES_CLOTH_FEY                                               : T5.0 Feyscale Sandals
5011: T5_SHOES_CLOTH_FEY@1                                             : T5.1 Feyscale Sandals
5012: T5_SHOES_CLOTH_FEY@2                                             : T5.2 Feyscale Sandals
5013: T5_SHOES_CLOTH_FEY@3                                             : T5.3 Feyscale Sandals
5014: T5_SHOES_CLOTH_FEY@4                                             : T5.4 Feyscale Sandals
5015: T6_SHOES_CLOTH_FEY                                               : T6.0 Feyscale Sandals
5016: T6_SHOES_CLOTH_FEY@1                                             : T6.1 Feyscale Sandals
5017: T6_SHOES_CLOTH_FEY@2                                             : T6.2 Feyscale Sandals
5018: T6_SHOES_CLOTH_FEY@3                                             : T6.3 Feyscale Sandals
5019: T6_SHOES_CLOTH_FEY@4                                             : T6.4 Feyscale Sandals
5020: T7_SHOES_CLOTH_FEY                                               : T7.0 Feyscale Sandals
5021: T7_SHOES_CLOTH_FEY@1                                             : T7.1 Feyscale Sandals
5022: T7_SHOES_CLOTH_FEY@2                                             : T7.2 Feyscale Sandals
5023: T7_SHOES_CLOTH_FEY@3                                             : T7.3 Feyscale Sandals
5024: T7_SHOES_CLOTH_FEY@4                                             : T7.4 Feyscale Sandals
5025: T8_SHOES_CLOTH_FEY                                               : T8.0 Feyscale Sandals
5026: T8_SHOES_CLOTH_FEY@1                                             : T8.1 Feyscale Sandals
5027: T8_SHOES_CLOTH_FEY@2                                             : T8.2 Feyscale Sandals
5028: T8_SHOES_CLOTH_FEY@3                                             : T8.3 Feyscale Sandals
5029: T8_SHOES_CLOTH_FEY@4                                             : T8.4 Feyscale Sandals
5030: T4_HEAD_CLOTH_AVALON                                             : T4.0 Cowl of Purity
5031: T4_HEAD_CLOTH_AVALON@1                                           : T4.1 Cowl of Purity
5032: T4_HEAD_CLOTH_AVALON@2                                           : T4.2 Cowl of Purity
5033: T4_HEAD_CLOTH_AVALON@3                                           : T4.3 Cowl of Purity
5034: T4_HEAD_CLOTH_AVALON@4                                           : T4.4 Cowl of Purity
5035: T5_HEAD_CLOTH_AVALON                                             : T5.0 Cowl of Purity
5036: T5_HEAD_CLOTH_AVALON@1                                           : T5.1 Cowl of Purity
5037: T5_HEAD_CLOTH_AVALON@2                                           : T5.2 Cowl of Purity
5038: T5_HEAD_CLOTH_AVALON@3                                           : T5.3 Cowl of Purity
5039: T5_HEAD_CLOTH_AVALON@4                                           : T5.4 Cowl of Purity
5040: T6_HEAD_CLOTH_AVALON                                             : T6.0 Cowl of Purity
5041: T6_HEAD_CLOTH_AVALON@1                                           : T6.1 Cowl of Purity
5042: T6_HEAD_CLOTH_AVALON@2                                           : T6.2 Cowl of Purity
5043: T6_HEAD_CLOTH_AVALON@3                                           : T6.3 Cowl of Purity
5044: T6_HEAD_CLOTH_AVALON@4                                           : T6.4 Cowl of Purity
5045: T7_HEAD_CLOTH_AVALON                                             : T7.0 Cowl of Purity
5046: T7_HEAD_CLOTH_AVALON@1                                           : T7.1 Cowl of Purity
5047: T7_HEAD_CLOTH_AVALON@2                                           : T7.2 Cowl of Purity
5048: T7_HEAD_CLOTH_AVALON@3                                           : T7.3 Cowl of Purity
5049: T7_HEAD_CLOTH_AVALON@4                                           : T7.4 Cowl of Purity
5050: T8_HEAD_CLOTH_AVALON                                             : T8.0 Cowl of Purity
5051: T8_HEAD_CLOTH_AVALON@1                                           : T8.1 Cowl of Purity
5052: T8_HEAD_CLOTH_AVALON@2                                           : T8.2 Cowl of Purity
5053: T8_HEAD_CLOTH_AVALON@3                                           : T8.3 Cowl of Purity
5054: T8_HEAD_CLOTH_AVALON@4                                           : T8.4 Cowl of Purity
5055: T4_ARMOR_CLOTH_AVALON                                            : T4.0 Robe of Purity
5056: T4_ARMOR_CLOTH_AVALON@1                                          : T4.1 Robe of Purity
5057: T4_ARMOR_CLOTH_AVALON@2                                          : T4.2 Robe of Purity
5058: T4_ARMOR_CLOTH_AVALON@3                                          : T4.3 Robe of Purity
5059: T4_ARMOR_CLOTH_AVALON@4                                          : T4.4 Robe of Purity
5060: T5_ARMOR_CLOTH_AVALON                                            : T5.0 Robe of Purity
5061: T5_ARMOR_CLOTH_AVALON@1                                          : T5.1 Robe of Purity
5062: T5_ARMOR_CLOTH_AVALON@2                                          : T5.2 Robe of Purity
5063: T5_ARMOR_CLOTH_AVALON@3                                          : T5.3 Robe of Purity
5064: T5_ARMOR_CLOTH_AVALON@4                                          : T5.4 Robe of Purity
5065: T6_ARMOR_CLOTH_AVALON                                            : T6.0 Robe of Purity
5066: T6_ARMOR_CLOTH_AVALON@1                                          : T6.1 Robe of Purity
5067: T6_ARMOR_CLOTH_AVALON@2                                          : T6.2 Robe of Purity
5068: T6_ARMOR_CLOTH_AVALON@3                                          : T6.3 Robe of Purity
5069: T6_ARMOR_CLOTH_AVALON@4                                          : T6.4 Robe of Purity
5070: T7_ARMOR_CLOTH_AVALON                                            : T7.0 Robe of Purity
5071: T7_ARMOR_CLOTH_AVALON@1                                          : T7.1 Robe of Purity
5072: T7_ARMOR_CLOTH_AVALON@2                                          : T7.2 Robe of Purity
5073: T7_ARMOR_CLOTH_AVALON@3                                          : T7.3 Robe of Purity
5074: T7_ARMOR_CLOTH_AVALON@4                                          : T7.4 Robe of Purity
5075: T8_ARMOR_CLOTH_AVALON                                            : T8.0 Robe of Purity
5076: T8_ARMOR_CLOTH_AVALON@1                                          : T8.1 Robe of Purity
5077: T8_ARMOR_CLOTH_AVALON@2                                          : T8.2 Robe of Purity
5078: T8_ARMOR_CLOTH_AVALON@3                                          : T8.3 Robe of Purity
5079: T8_ARMOR_CLOTH_AVALON@4                                          : T8.4 Robe of Purity
5080: T4_SHOES_CLOTH_AVALON                                            : T4.0 Sandals of Purity
5081: T4_SHOES_CLOTH_AVALON@1                                          : T4.1 Sandals of Purity
5082: T4_SHOES_CLOTH_AVALON@2                                          : T4.2 Sandals of Purity
5083: T4_SHOES_CLOTH_AVALON@3                                          : T4.3 Sandals of Purity
5084: T4_SHOES_CLOTH_AVALON@4                                          : T4.4 Sandals of Purity
5085: T5_SHOES_CLOTH_AVALON                                            : T5.0 Sandals of Purity
5086: T5_SHOES_CLOTH_AVALON@1                                          : T5.1 Sandals of Purity
5087: T5_SHOES_CLOTH_AVALON@2                                          : T5.2 Sandals of Purity
5088: T5_SHOES_CLOTH_AVALON@3                                          : T5.3 Sandals of Purity
5089: T5_SHOES_CLOTH_AVALON@4                                          : T5.4 Sandals of Purity
5090: T6_SHOES_CLOTH_AVALON                                            : T6.0 Sandals of Purity
5091: T6_SHOES_CLOTH_AVALON@1                                          : T6.1 Sandals of Purity
5092: T6_SHOES_CLOTH_AVALON@2                                          : T6.2 Sandals of Purity
5093: T6_SHOES_CLOTH_AVALON@3                                          : T6.3 Sandals of Purity
5094: T6_SHOES_CLOTH_AVALON@4                                          : T6.4 Sandals of Purity
5095: T7_SHOES_CLOTH_AVALON                                            : T7.0 Sandals of Purity
5096: T7_SHOES_CLOTH_AVALON@1                                          : T7.1 Sandals of Purity
5097: T7_SHOES_CLOTH_AVALON@2                                          : T7.2 Sandals of Purity
5098: T7_SHOES_CLOTH_AVALON@3                                          : T7.3 Sandals of Purity
5099: T7_SHOES_CLOTH_AVALON@4                                          : T7.4 Sandals of Purity
5100: T8_SHOES_CLOTH_AVALON                                            : T8.0 Sandals of Purity
5101: T8_SHOES_CLOTH_AVALON@1                                          : T8.1 Sandals of Purity
5102: T8_SHOES_CLOTH_AVALON@2                                          : T8.2 Sandals of Purity
5103: T8_SHOES_CLOTH_AVALON@3                                          : T8.3 Sandals of Purity
5104: T8_SHOES_CLOTH_AVALON@4                                          : T8.4 Sandals of Purity
5105: T4_HEAD_CLOTH_ROYAL                                              : T4.0 Royal Cowl
5106: T4_HEAD_CLOTH_ROYAL@1                                            : T4.1 Royal Cowl
5107: T4_HEAD_CLOTH_ROYAL@2                                            : T4.2 Royal Cowl
5108: T4_HEAD_CLOTH_ROYAL@3                                            : T4.3 Royal Cowl
5109: T4_HEAD_CLOTH_ROYAL@4                                            : T4.4 Royal Cowl
5110: T5_HEAD_CLOTH_ROYAL                                              : T5.0 Royal Cowl
5111: T5_HEAD_CLOTH_ROYAL@1                                            : T5.1 Royal Cowl
5112: T5_HEAD_CLOTH_ROYAL@2                                            : T5.2 Royal Cowl
5113: T5_HEAD_CLOTH_ROYAL@3                                            : T5.3 Royal Cowl
5114: T5_HEAD_CLOTH_ROYAL@4                                            : T5.4 Royal Cowl
5115: T6_HEAD_CLOTH_ROYAL                                              : T6.0 Royal Cowl
5116: T6_HEAD_CLOTH_ROYAL@1                                            : T6.1 Royal Cowl
5117: T6_HEAD_CLOTH_ROYAL@2                                            : T6.2 Royal Cowl
5118: T6_HEAD_CLOTH_ROYAL@3                                            : T6.3 Royal Cowl
5119: T6_HEAD_CLOTH_ROYAL@4                                            : T6.4 Royal Cowl
5120: T7_HEAD_CLOTH_ROYAL                                              : T7.0 Royal Cowl
5121: T7_HEAD_CLOTH_ROYAL@1                                            : T7.1 Royal Cowl
5122: T7_HEAD_CLOTH_ROYAL@2                                            : T7.2 Royal Cowl
5123: T7_HEAD_CLOTH_ROYAL@3                                            : T7.3 Royal Cowl
5124: T7_HEAD_CLOTH_ROYAL@4                                            : T7.4 Royal Cowl
5125: T8_HEAD_CLOTH_ROYAL                                              : T8.0 Royal Cowl
5126: T8_HEAD_CLOTH_ROYAL@1                                            : T8.1 Royal Cowl
5127: T8_HEAD_CLOTH_ROYAL@2                                            : T8.2 Royal Cowl
5128: T8_HEAD_CLOTH_ROYAL@3                                            : T8.3 Royal Cowl
5129: T8_HEAD_CLOTH_ROYAL@4                                            : T8.4 Royal Cowl
5130: T4_ARMOR_CLOTH_ROYAL                                             : T4.0 Royal Robe
5131: T4_ARMOR_CLOTH_ROYAL@1                                           : T4.1 Royal Robe
5132: T4_ARMOR_CLOTH_ROYAL@2                                           : T4.2 Royal Robe
5133: T4_ARMOR_CLOTH_ROYAL@3                                           : T4.3 Royal Robe
5134: T4_ARMOR_CLOTH_ROYAL@4                                           : T4.4 Royal Robe
5135: T5_ARMOR_CLOTH_ROYAL                                             : T5.0 Royal Robe
5136: T5_ARMOR_CLOTH_ROYAL@1                                           : T5.1 Royal Robe
5137: T5_ARMOR_CLOTH_ROYAL@2                                           : T5.2 Royal Robe
5138: T5_ARMOR_CLOTH_ROYAL@3                                           : T5.3 Royal Robe
5139: T5_ARMOR_CLOTH_ROYAL@4                                           : T5.4 Royal Robe
5140: T6_ARMOR_CLOTH_ROYAL                                             : T6.0 Royal Robe
5141: T6_ARMOR_CLOTH_ROYAL@1                                           : T6.1 Royal Robe
5142: T6_ARMOR_CLOTH_ROYAL@2                                           : T6.2 Royal Robe
5143: T6_ARMOR_CLOTH_ROYAL@3                                           : T6.3 Royal Robe
5144: T6_ARMOR_CLOTH_ROYAL@4                                           : T6.4 Royal Robe
5145: T7_ARMOR_CLOTH_ROYAL                                             : T7.0 Royal Robe
5146: T7_ARMOR_CLOTH_ROYAL@1                                           : T7.1 Royal Robe
5147: T7_ARMOR_CLOTH_ROYAL@2                                           : T7.2 Royal Robe
5148: T7_ARMOR_CLOTH_ROYAL@3                                           : T7.3 Royal Robe
5149: T7_ARMOR_CLOTH_ROYAL@4                                           : T7.4 Royal Robe
5150: T8_ARMOR_CLOTH_ROYAL                                             : T8.0 Royal Robe
5151: T8_ARMOR_CLOTH_ROYAL@1                                           : T8.1 Royal Robe
5152: T8_ARMOR_CLOTH_ROYAL@2                                           : T8.2 Royal Robe
5153: T8_ARMOR_CLOTH_ROYAL@3                                           : T8.3 Royal Robe
5154: T8_ARMOR_CLOTH_ROYAL@4                                           : T8.4 Royal Robe
5155: T4_SHOES_CLOTH_ROYAL                                             : T4.0 Royal Sandals
5156: T4_SHOES_CLOTH_ROYAL@1                                           : T4.1 Royal Sandals
5157: T4_SHOES_CLOTH_ROYAL@2                                           : T4.2 Royal Sandals
5158: T4_SHOES_CLOTH_ROYAL@3                                           : T4.3 Royal Sandals
5159: T4_SHOES_CLOTH_ROYAL@4                                           : T4.4 Royal Sandals
5160: T5_SHOES_CLOTH_ROYAL                                             : T5.0 Royal Sandals
5161: T5_SHOES_CLOTH_ROYAL@1                                           : T5.1 Royal Sandals
5162: T5_SHOES_CLOTH_ROYAL@2                                           : T5.2 Royal Sandals
5163: T5_SHOES_CLOTH_ROYAL@3                                           : T5.3 Royal Sandals
5164: T5_SHOES_CLOTH_ROYAL@4                                           : T5.4 Royal Sandals
5165: T6_SHOES_CLOTH_ROYAL                                             : T6.0 Royal Sandals
5166: T6_SHOES_CLOTH_ROYAL@1                                           : T6.1 Royal Sandals
5167: T6_SHOES_CLOTH_ROYAL@2                                           : T6.2 Royal Sandals
5168: T6_SHOES_CLOTH_ROYAL@3                                           : T6.3 Royal Sandals
5169: T6_SHOES_CLOTH_ROYAL@4                                           : T6.4 Royal Sandals
5170: T7_SHOES_CLOTH_ROYAL                                             : T7.0 Royal Sandals
5171: T7_SHOES_CLOTH_ROYAL@1                                           : T7.1 Royal Sandals
5172: T7_SHOES_CLOTH_ROYAL@2                                           : T7.2 Royal Sandals
5173: T7_SHOES_CLOTH_ROYAL@3                                           : T7.3 Royal Sandals
5174: T7_SHOES_CLOTH_ROYAL@4                                           : T7.4 Royal Sandals
5175: T8_SHOES_CLOTH_ROYAL                                             : T8.0 Royal Sandals
5176: T8_SHOES_CLOTH_ROYAL@1                                           : T8.1 Royal Sandals
5177: T8_SHOES_CLOTH_ROYAL@2                                           : T8.2 Royal Sandals
5178: T8_SHOES_CLOTH_ROYAL@3                                           : T8.3 Royal Sandals
5179: T8_SHOES_CLOTH_ROYAL@4                                           : T8.4 Royal Sandals
5180: T4_HEAD_LEATHER_ROYAL                                            : T4.0 Royal Hood
5181: T4_HEAD_LEATHER_ROYAL@1                                          : T4.1 Royal Hood
5182: T4_HEAD_LEATHER_ROYAL@2                                          : T4.2 Royal Hood
5183: T4_HEAD_LEATHER_ROYAL@3                                          : T4.3 Royal Hood
5184: T4_HEAD_LEATHER_ROYAL@4                                          : T4.4 Royal Hood
5185: T5_HEAD_LEATHER_ROYAL                                            : T5.0 Royal Hood
5186: T5_HEAD_LEATHER_ROYAL@1                                          : T5.1 Royal Hood
5187: T5_HEAD_LEATHER_ROYAL@2                                          : T5.2 Royal Hood
5188: T5_HEAD_LEATHER_ROYAL@3                                          : T5.3 Royal Hood
5189: T5_HEAD_LEATHER_ROYAL@4                                          : T5.4 Royal Hood
5190: T6_HEAD_LEATHER_ROYAL                                            : T6.0 Royal Hood
5191: T6_HEAD_LEATHER_ROYAL@1                                          : T6.1 Royal Hood
5192: T6_HEAD_LEATHER_ROYAL@2                                          : T6.2 Royal Hood
5193: T6_HEAD_LEATHER_ROYAL@3                                          : T6.3 Royal Hood
5194: T6_HEAD_LEATHER_ROYAL@4                                          : T6.4 Royal Hood
5195: T7_HEAD_LEATHER_ROYAL                                            : T7.0 Royal Hood
5196: T7_HEAD_LEATHER_ROYAL@1                                          : T7.1 Royal Hood
5197: T7_HEAD_LEATHER_ROYAL@2                                          : T7.2 Royal Hood
5198: T7_HEAD_LEATHER_ROYAL@3                                          : T7.3 Royal Hood
5199: T7_HEAD_LEATHER_ROYAL@4                                          : T7.4 Royal Hood
5200: T8_HEAD_LEATHER_ROYAL                                            : T8.0 Royal Hood
5201: T8_HEAD_LEATHER_ROYAL@1                                          : T8.1 Royal Hood
5202: T8_HEAD_LEATHER_ROYAL@2                                          : T8.2 Royal Hood
5203: T8_HEAD_LEATHER_ROYAL@3                                          : T8.3 Royal Hood
5204: T8_HEAD_LEATHER_ROYAL@4                                          : T8.4 Royal Hood
5205: T4_ARMOR_LEATHER_ROYAL                                           : T4.0 Royal Jacket
5206: T4_ARMOR_LEATHER_ROYAL@1                                         : T4.1 Royal Jacket
5207: T4_ARMOR_LEATHER_ROYAL@2                                         : T4.2 Royal Jacket
5208: T4_ARMOR_LEATHER_ROYAL@3                                         : T4.3 Royal Jacket
5209: T4_ARMOR_LEATHER_ROYAL@4                                         : T4.4 Royal Jacket
5210: T5_ARMOR_LEATHER_ROYAL                                           : T5.0 Royal Jacket
5211: T5_ARMOR_LEATHER_ROYAL@1                                         : T5.1 Royal Jacket
5212: T5_ARMOR_LEATHER_ROYAL@2                                         : T5.2 Royal Jacket
5213: T5_ARMOR_LEATHER_ROYAL@3                                         : T5.3 Royal Jacket
5214: T5_ARMOR_LEATHER_ROYAL@4                                         : T5.4 Royal Jacket
5215: T6_ARMOR_LEATHER_ROYAL                                           : T6.0 Royal Jacket
5216: T6_ARMOR_LEATHER_ROYAL@1                                         : T6.1 Royal Jacket
5217: T6_ARMOR_LEATHER_ROYAL@2                                         : T6.2 Royal Jacket
5218: T6_ARMOR_LEATHER_ROYAL@3                                         : T6.3 Royal Jacket
5219: T6_ARMOR_LEATHER_ROYAL@4                                         : T6.4 Royal Jacket
5220: T7_ARMOR_LEATHER_ROYAL                                           : T7.0 Royal Jacket
5221: T7_ARMOR_LEATHER_ROYAL@1                                         : T7.1 Royal Jacket
5222: T7_ARMOR_LEATHER_ROYAL@2                                         : T7.2 Royal Jacket
5223: T7_ARMOR_LEATHER_ROYAL@3                                         : T7.3 Royal Jacket
5224: T7_ARMOR_LEATHER_ROYAL@4                                         : T7.4 Royal Jacket
5225: T8_ARMOR_LEATHER_ROYAL                                           : T8.0 Royal Jacket
5226: T8_ARMOR_LEATHER_ROYAL@1                                         : T8.1 Royal Jacket
5227: T8_ARMOR_LEATHER_ROYAL@2                                         : T8.2 Royal Jacket
5228: T8_ARMOR_LEATHER_ROYAL@3                                         : T8.3 Royal Jacket
5229: T8_ARMOR_LEATHER_ROYAL@4                                         : T8.4 Royal Jacket
5230: T4_SHOES_LEATHER_ROYAL                                           : T4.0 Royal Shoes
5231: T4_SHOES_LEATHER_ROYAL@1                                         : T4.1 Royal Shoes
5232: T4_SHOES_LEATHER_ROYAL@2                                         : T4.2 Royal Shoes
5233: T4_SHOES_LEATHER_ROYAL@3                                         : T4.3 Royal Shoes
5234: T4_SHOES_LEATHER_ROYAL@4                                         : T4.4 Royal Shoes
5235: T5_SHOES_LEATHER_ROYAL                                           : T5.0 Royal Shoes
5236: T5_SHOES_LEATHER_ROYAL@1                                         : T5.1 Royal Shoes
5237: T5_SHOES_LEATHER_ROYAL@2                                         : T5.2 Royal Shoes
5238: T5_SHOES_LEATHER_ROYAL@3                                         : T5.3 Royal Shoes
5239: T5_SHOES_LEATHER_ROYAL@4                                         : T5.4 Royal Shoes
5240: T6_SHOES_LEATHER_ROYAL                                           : T6.0 Royal Shoes
5241: T6_SHOES_LEATHER_ROYAL@1                                         : T6.1 Royal Shoes
5242: T6_SHOES_LEATHER_ROYAL@2                                         : T6.2 Royal Shoes
5243: T6_SHOES_LEATHER_ROYAL@3                                         : T6.3 Royal Shoes
5244: T6_SHOES_LEATHER_ROYAL@4                                         : T6.4 Royal Shoes
5245: T7_SHOES_LEATHER_ROYAL                                           : T7.0 Royal Shoes
5246: T7_SHOES_LEATHER_ROYAL@1                                         : T7.1 Royal Shoes
5247: T7_SHOES_LEATHER_ROYAL@2                                         : T7.2 Royal Shoes
5248: T7_SHOES_LEATHER_ROYAL@3                                         : T7.3 Royal Shoes
5249: T7_SHOES_LEATHER_ROYAL@4                                         : T7.4 Royal Shoes
5250: T8_SHOES_LEATHER_ROYAL                                           : T8.0 Royal Shoes
5251: T8_SHOES_LEATHER_ROYAL@1                                         : T8.1 Royal Shoes
5252: T8_SHOES_LEATHER_ROYAL@2                                         : T8.2 Royal Shoes
5253: T8_SHOES_LEATHER_ROYAL@3                                         : T8.3 Royal Shoes
5254: T8_SHOES_LEATHER_ROYAL@4                                         : T8.4 Royal Shoes
5255: T4_HEAD_PLATE_ROYAL                                              : T4.0 Royal Helmet
5256: T4_HEAD_PLATE_ROYAL@1                                            : T4.1 Royal Helmet
5257: T4_HEAD_PLATE_ROYAL@2                                            : T4.2 Royal Helmet
5258: T4_HEAD_PLATE_ROYAL@3                                            : T4.3 Royal Helmet
5259: T4_HEAD_PLATE_ROYAL@4                                            : T4.4 Royal Helmet
5260: T5_HEAD_PLATE_ROYAL                                              : T5.0 Royal Helmet
5261: T5_HEAD_PLATE_ROYAL@1                                            : T5.1 Royal Helmet
5262: T5_HEAD_PLATE_ROYAL@2                                            : T5.2 Royal Helmet
5263: T5_HEAD_PLATE_ROYAL@3                                            : T5.3 Royal Helmet
5264: T5_HEAD_PLATE_ROYAL@4                                            : T5.4 Royal Helmet
5265: T6_HEAD_PLATE_ROYAL                                              : T6.0 Royal Helmet
5266: T6_HEAD_PLATE_ROYAL@1                                            : T6.1 Royal Helmet
5267: T6_HEAD_PLATE_ROYAL@2                                            : T6.2 Royal Helmet
5268: T6_HEAD_PLATE_ROYAL@3                                            : T6.3 Royal Helmet
5269: T6_HEAD_PLATE_ROYAL@4                                            : T6.4 Royal Helmet
5270: T7_HEAD_PLATE_ROYAL                                              : T7.0 Royal Helmet
5271: T7_HEAD_PLATE_ROYAL@1                                            : T7.1 Royal Helmet
5272: T7_HEAD_PLATE_ROYAL@2                                            : T7.2 Royal Helmet
5273: T7_HEAD_PLATE_ROYAL@3                                            : T7.3 Royal Helmet
5274: T7_HEAD_PLATE_ROYAL@4                                            : T7.4 Royal Helmet
5275: T8_HEAD_PLATE_ROYAL                                              : T8.0 Royal Helmet
5276: T8_HEAD_PLATE_ROYAL@1                                            : T8.1 Royal Helmet
5277: T8_HEAD_PLATE_ROYAL@2                                            : T8.2 Royal Helmet
5278: T8_HEAD_PLATE_ROYAL@3                                            : T8.3 Royal Helmet
5279: T8_HEAD_PLATE_ROYAL@4                                            : T8.4 Royal Helmet
5280: T4_ARMOR_PLATE_ROYAL                                             : T4.0 Royal Armor
5281: T4_ARMOR_PLATE_ROYAL@1                                           : T4.1 Royal Armor
5282: T4_ARMOR_PLATE_ROYAL@2                                           : T4.2 Royal Armor
